产品布局 	产品布局 	主要产品 	占 2017 年主营业务收入比例（%） 	占 2016 年主营业务收入比例（%） 	占 2015年主营业务收入比例（%） 			
环网柜 	1,735.35   	6.53   	2,070.97   	11.67   	731.13   	5.42   		
箱式开闭所 	144.92   	0.55   	1,645.62   	9.27   	956.77   	956.77   	7.10   	
其他 	205.76   	0.77   	- 	- 	1,521.37   	1,521.37   	11.29   	
合计 	26,589.80   	100.00   	17,746.83   	100.00   	13,477.16   	13,477.16   	100.00   	
								
项目 	项目 	2017 年度 	2016 年度 	2015 年度 				
1、输变电监测设备 	1、输变电监测设备 	3.45 	0.94 	0.56 				
（1）变电检测设备 	（1）变电检测设备 	4.30 	0.90 	0.48 				
智能巡检机器人 	智能巡检机器人 	73.96   	85.44 	85.64 				
智能除湿器 	智能除湿器 	0.32   	0.32 	0.30 				
油色谱 	油色谱 	11.25   	10.17 	12.29 				
红外测温在线监测装置 	红外测温在线监测装置 	19.15   	- 	285.81 				
避雷器在线监测装置 	避雷器在线监测装置 	0.76   	- 	0.69 				
其他 	其他 	40.94 	- 	7.34 				
（2）输电监测设备 	（2）输电监测设备 	1.00 	1.23 	4.85 				
图像/视频在线监测装置 	图像/视频在线监测装置 	1.00 	1.23 	4.07 				
微气象在线监测装置 	微气象在线监测装置 	- 	- 	3.94 				
其他 	其他 	- 	- 	8.21 				
2、配电及自动化控制设备 	2、配电及自动化控制设备 	0.19 	0.66 	0.08 				
故障在线监测装置 	二遥 	0.12 	0.14 	0.12 				
故障在线监测装置 	普通 	- 	- 	0.01 				
环网柜 	环网柜 	2.76 	2.78 	1.84 				
箱式开闭所 	箱式开闭所 	14.49 	14.56 	16.79 				
其他 	其他 	34.29 	- 	760.68 				
								
期间 	序号 	客户名称 	主要销售内容 	金额 	占营业收入的比例 			
2017 年 	1 	华云信息 	智能巡检机器人、故障在线监测装置 	12,356.10 	43.71% 			
2017 年 	2 	许继集团 	智能巡检机器人、油色谱、图像/视频在线监测装置 	6,901.58 	24.41% 			
2017 年 	3 	国网浙江 	智能除湿器、油色谱、红外测温在线监测装置、避雷器在线监测装置、二次压板状态监测、环网柜 	4,411.11 	15.60% 			
2017 年 	4 	国网湖北 	智能巡检机器人、故障在线监测装置、箱式开闭所 	1,712.99 	6.06% 			
2017 年 	5 	杰创电器 	智能除湿器 	438.46 	1.55% 			
2017 年 	合计 	合计 	- 	25,820.24 	91.33% 			
2016 年 	1 	国网浙江 	除湿器、环网柜、箱式开闭所、图像/视频在线监测装置、故障在线监测装置 	8,860.64 	45.78% 			
2016 年 	2 	许继集团 	智能巡检机器人、油色谱、图像/视频在线监测装置 	8,445.42 	43.63% 			
2016 年 	3 	北海银河 	环网柜、箱式开闭所 	773.40 	4.00% 			
2016 年 	4 	国网宁夏 	环网柜、箱式开闭所 	633.28 	3.27% 			
2016 年 	5 	国网湖北 	油色谱 	260.00 	1.34% 			
2016 年 	合计 	合计 	- 	18,972.74 	98.02% 			
2015 年 	1 	国网浙江 	环网柜、箱式开闭所、智能除湿器、避雷器在线监测装置、微气象在线监测装置 	10,448.74 	74.69% 			
2015 年 	2 	许继集团 	智能巡检机器人、油色谱 	1,630.18 	11.65% 			
2015 年 	3 	国网江苏 	避雷器在线监测装置、故障在线监测装置 	1,396.30 	9.98% 			
2015 年 	4 	华云信息 	维保项目 	123.98 	0.89% 			
2015 年 	5 	国网运行 	维保项目 	89.74 	0.64% 			
2015 年 	合计 	合计 	- 	13,688.94 	97.85% 			
								
客户名称 	期末余额 	其中结算期内 	其中结算期内 	截至 2018.1.25 回款情况 	截至 2018.1.25 回款情况 			
客户名称 	期末余额 	金额 	比例 	回款金额 	回款比例 			
华云信息 	3,811.96 	3,811.96 	100.00% 	113.34 	2.97% 			
国网浙江 	2,434.42 	2,284.14 	93.39% 	466.89 	19.18% 			
许继集团 	2,012.43 	1,614.48 	80.23% 	302.38 	15.03% 			
杰创电器 	513.00 	513.00 	100.00% 	- 	- 			
华东送变电 	400.00 	400.00 	100.00% 	- 	- 			
合计 	9,171.81 	8,623.59 	93.91% 	882.61 	9.62% 			
占应收账款账面余额比例 	92.18% 	- 	- 	- 	- 			
国网浙江 	5,334.82 	3,849.14 	72.15% 	4,883.46 	91.54% 			
许继集团 	1,315.45 	537.40 	40.85% 	1,315.45 	100.00% 			
北海银河 	904.87 	904.87 	100.00% 	904.87 	100.00% 			
国网湖北 	239.65 	239.65 	100.00% 	239.65 	100.00% 			
华云信息 	161.92 	161.92 	100.00% 	161.92 	100.00% 			
合计 	7,956.71 	5,692.98 	71.55% 	7,505.35 	94.33% 			
占应收账款账面余额比例 	93.62% 	- 	- 	- 	- 			
								
客户名称 	期末余额 	其中结算期内 	其中结算期内 	截至 2017.12.31 回款情况 	截至 2017.12.31 回款情况 			
客户名称 	期末余额 	金额 	比例 	回款金额 	回款比例 			
国网浙江 	5,334.82 	3,849.14 	72.15% 	4,883.46 	91.54% 			
许继集团 	1,315.45 	537.40 	40.85% 	1,315.45 	100.00% 			
北海银河 	904.87 	904.87 	100.00% 	904.87 	100.00% 			
国网湖北 	239.65 	239.65 	100.00% 	239.65 	100.00% 			
华云信息 	161.92 	161.92 	100.00% 	161.92 	100.00% 			
合计 	7,956.71 	5,692.98 	71.55% 	7,505.35 	94.33% 			
占应收账款账面余额比例 	93.62% 	- 	- 	- 	- 			
								
客户名称 	期末余额 	其中结算期内 	其中结算期内 	截至 2016.12.31 回款情况 	截至 2016.12.31 回款情况 			
客户名称 	期末余额 	金额 	比例 	回款金额 	回款比例 			
国网浙江 	7,006.12 	5,061.44 	72.24% 	7,006.12 	100.00% 			
许继集团 	1,953.18 	1,953.18 	100.00% 	1,953.18 	100.00% 			
国网江苏 	225.86 	144.62 	64.03% 	109.71 	48.58% 			
龙源风电 	189.20 	- 	- 	135.28 	71.50% 			
华云信息 	145.06 	145.06 	100.00% 	130.55 	90.00% 			
合计 	9,519.42 	7,304.30 	76.73% 	9,334.84 	98.06% 			
占应收账款账面余额比例 	97.66% 	- 	- 	- 	- 			
								
材料类别 	2017 年 	2017 年 	2016 年 	2016 年 	2015 年 	2015 年 		
